,datetime,open,high,low,close,volume
0,2019-06-14 09:15:00,90,90,90,90,0
1,2019-06-14 09:40:00,89.95,89.95,89.95,89.95,0
3,2019-06-14 10:05:00,90,90.6,90,90,6690
8,2019-06-14 10:30:00,91.45,92,91.1,92,1829
13,2019-06-14 10:55:00,93,93,93,93,294
18,2019-06-14 11:20:00,94.4,94.4,93.25,94,5709
23,2019-06-14 11:45:00,94.4,94.4,94.4,94.4,147
28,2019-06-14 12:10:00,94.4,94.4,94.4,94.4,49
33,2019-06-14 12:35:00,94.4,94.4,94.4,94.4,63
38,2019-06-14 13:00:00,94.4,94.4,94.4,94.4,83
43,2019-06-14 13:25:00,94.4,94.4,94.4,94.4,117
48,2019-06-14 13:50:00,94.4,94.4,94.4,94.4,81
52,2019-06-14 14:15:00,94.4,94.4,94.4,94.4,35
57,2019-06-14 14:40:00,94.4,94.4,94.4,94.4,295
62,2019-06-14 15:05:00,94.4,94.4,94.4,94.4,20
67,2019-06-17 09:15:00,95.4,99.1,95.4,99.1,10966
72,2019-06-17 09:40:00,99.1,99.1,99.1,99.1,513
77,2019-06-17 10:05:00,99.1,99.1,99.1,99.1,897
82,2019-06-17 10:30:00,99.1,99.1,99.1,99.1,88
87,2019-06-17 10:55:00,99.1,99.1,99.1,99.1,19
92,2019-06-17 11:20:00,99.1,99.1,99.1,99.1,53
97,2019-06-17 11:45:00,99.1,99.1,99.1,99.1,46
102,2019-06-17 12:10:00,99.1,99.1,99.1,99.1,0
107,2019-06-17 12:35:00,99.1,99.1,99.1,99.1,3
112,2019-06-17 13:00:00,99.1,99.1,99.1,99.1,12
116,2019-06-17 13:25:00,99.1,99.1,99.1,99.1,37
121,2019-06-17 13:50:00,99.1,99.1,99.1,99.1,25
125,2019-06-17 14:15:00,99.1,99.1,99.1,99.1,18
129,2019-06-17 14:40:00,99.1,99.1,99.1,99.1,35
134,2019-06-17 15:05:00,99.1,99.1,99.1,99.1,0
139,2019-06-18 09:15:00,104.05,104.05,104.05,104.05,262
144,2019-06-18 09:40:00,104.05,104.05,104.05,104.05,11
149,2019-06-18 10:05:00,104.05,104.05,104.05,104.05,91
154,2019-06-18 10:30:00,104.05,104.05,104.05,104.05,335
159,2019-06-18 10:55:00,104.05,104.05,104.05,104.05,0
164,2019-06-18 11:20:00,104.05,104.05,104.05,104.05,37
169,2019-06-18 11:45:00,104.05,104.05,104.05,104.05,11
174,2019-06-18 12:10:00,104.05,104.05,104.05,104.05,0
179,2019-06-18 12:35:00,104.05,104.05,104.05,104.05,255
184,2019-06-18 13:00:00,104.05,104.05,104.05,104.05,1
189,2019-06-18 13:25:00,104.05,104.05,104.05,104.05,0
194,2019-06-18 13:50:00,104.05,104.05,104.05,104.05,25
199,2019-06-18 14:15:00,104.05,104.05,104.05,104.05,22
204,2019-06-18 14:40:00,104.05,104.05,104.05,104.05,131
209,2019-06-18 15:05:00,104.05,104.05,104.05,104.05,615
214,2019-06-19 09:15:00,109,109.25,109,109.25,193
219,2019-06-19 09:40:00,109.25,109.25,109.25,109.25,107
224,2019-06-19 10:05:00,109.25,109.25,109.25,109.25,124
229,2019-06-19 10:30:00,109.25,109.25,109.25,109.25,10
234,2019-06-19 10:55:00,109.25,109.25,109.25,109.25,709
239,2019-06-19 11:20:00,109.25,109.25,109.25,109.25,2
244,2019-06-19 11:45:00,109.25,109.25,109.25,109.25,48210
249,2019-06-19 12:10:00,99.95,101,99,99,6803
254,2019-06-19 12:35:00,98.85,98.85,98.85,98.85,6
259,2019-06-19 13:00:00,100.25,100.25,100,100.2,4280
264,2019-06-19 13:25:00,100.5,101,100.5,100.5,1050
269,2019-06-19 13:50:00,98.85,98.85,98.85,98.85,500
274,2019-06-19 14:15:00,98.85,98.85,98.85,98.85,9138
279,2019-06-19 14:40:00,98.85,100.5,98.85,100.5,7210
284,2019-06-19 15:05:00,106,108.9,106,106.2,1732
289,2019-06-20 09:15:00,107.7,107.7,100.1,100.5,2193
294,2019-06-20 09:40:00,100,100,100,100,55
299,2019-06-20 10:05:00,99.9,99.9,99.9,99.9,1617
304,2019-06-20 10:30:00,99.9,99.9,99.9,99.9,100
309,2019-06-20 10:55:00,99.9,99.9,99.9,99.9,0
314,2019-06-20 11:20:00,99.9,99.9,99.9,99.9,1217
319,2019-06-20 11:45:00,99.9,99.9,99.9,99.9,5000
324,2019-06-20 12:10:00,99.9,99.9,99.9,99.9,21
329,2019-06-20 12:35:00,99.9,99.9,99.9,99.9,188
334,2019-06-20 13:00:00,99.9,99.9,99.9,99.9,19
339,2019-06-20 13:25:00,99.9,99.9,99.9,99.9,0
344,2019-06-20 13:50:00,99.9,99.9,99.9,99.9,0
348,2019-06-20 14:15:00,99.9,99.9,99.9,99.9,0
353,2019-06-20 14:40:00,99.9,99.9,99.9,99.9,0
358,2019-06-20 15:05:00,99.9,99.9,99.9,99.9,20
363,2019-06-21 09:15:00,94.95,94.95,94.95,94.95,2061
368,2019-06-21 09:40:00,94.95,94.95,94.95,94.95,736
373,2019-06-21 10:05:00,94.95,94.95,94.95,94.95,0
378,2019-06-21 10:30:00,94.95,94.95,94.95,94.95,0
383,2019-06-21 10:55:00,94.95,94.95,94.95,94.95,4
388,2019-06-21 11:20:00,94.95,94.95,94.95,94.95,0
392,2019-06-21 11:45:00,94.95,94.95,94.95,94.95,0
397,2019-06-21 12:10:00,94.95,94.95,94.95,94.95,0
402,2019-06-21 12:35:00,94.95,94.95,94.95,94.95,1
407,2019-06-21 13:00:00,94.95,94.95,94.95,94.95,0
412,2019-06-21 13:25:00,94.95,94.95,94.95,94.95,50
416,2019-06-21 13:50:00,94.95,94.95,94.95,94.95,0
421,2019-06-21 14:15:00,94.95,94.95,94.95,94.95,5
426,2019-06-21 14:40:00,94.95,94.95,94.95,94.95,5000
431,2019-06-21 15:05:00,94.95,94.95,94.95,94.95,0
436,2019-06-24 09:15:00,90.3,91,90.3,90.55,2419
441,2019-06-24 09:40:00,90.25,90.25,90.25,90.25,925
446,2019-06-24 10:05:00,90.25,90.35,90.25,90.25,792
451,2019-06-24 10:30:00,90.25,90.25,90.25,90.25,500
456,2019-06-24 10:55:00,90.25,90.25,90.25,90.25,0
461,2019-06-24 11:20:00,90.25,90.25,90.25,90.25,0
466,2019-06-24 11:45:00,90.25,90.25,90.25,90.25,50
471,2019-06-24 12:10:00,90.25,90.25,90.25,90.25,0
476,2019-06-24 12:35:00,90.25,90.25,90.25,90.25,246
481,2019-06-24 13:00:00,90.25,90.25,90.25,90.25,224
486,2019-06-24 13:25:00,90.35,90.35,90.25,90.25,1300
491,2019-06-24 13:50:00,90.25,90.25,90.25,90.25,170
496,2019-06-24 14:15:00,90.25,90.25,90.25,90.25,49
501,2019-06-24 14:40:00,90.3,90.3,90.25,90.25,25
506,2019-06-24 15:05:00,90.25,90.25,90.25,90.25,1
511,2019-06-25 09:15:00,85.75,88.1,85.75,86.5,2380
516,2019-06-25 09:40:00,87.2,87.2,87.1,87.1,698
521,2019-06-25 10:05:00,87.4,87.4,87,87,641
526,2019-06-25 10:30:00,87,87,87,87,401
531,2019-06-25 10:55:00,87.05,87.1,87.05,87.1,181
536,2019-06-25 11:20:00,87,87.1,87,87.1,2445
541,2019-06-25 11:45:00,87,87,87,87,417
546,2019-06-25 12:10:00,87.1,87.1,87,87,703
551,2019-06-25 12:35:00,87,87.1,87,87,448
556,2019-06-25 13:00:00,87,87,87,87,172
561,2019-06-25 13:25:00,87.3,87.3,87.3,87.3,586
566,2019-06-25 13:50:00,87.25,87.4,87.15,87.4,774
571,2019-06-25 14:15:00,87.1,87.15,87.05,87.05,1626
576,2019-06-25 14:40:00,87,87,87,87,228
581,2019-06-25 15:05:00,87.05,87.05,87,87,982
586,2019-06-26 09:15:00,87,87,87,87,2043
591,2019-06-26 09:40:00,88.1,88.5,88.1,88.5,1196
596,2019-06-26 10:05:00,88.1,88.3,88.1,88.3,446
601,2019-06-26 10:30:00,88.5,88.5,88.1,88.5,312
606,2019-06-26 10:55:00,87.65,87.65,87.65,87.65,108
611,2019-06-26 11:20:00,88.9,88.9,88.5,88.5,91
616,2019-06-26 11:45:00,88.9,88.9,88.5,88.5,255
621,2019-06-26 12:10:00,88.1,88.1,88.1,88.1,30
626,2019-06-26 12:35:00,88.1,88.65,88,88.65,72
631,2019-06-26 13:00:00,88,88,87.55,87.55,103
636,2019-06-26 13:25:00,89,89,89,89,0
641,2019-06-26 13:50:00,88,88.1,88,88.1,3
646,2019-06-26 14:15:00,88.1,88.25,88.1,88.25,70
650,2019-06-26 14:40:00,88.25,88.25,88.25,88.25,2
655,2019-06-26 15:05:00,88,88,88,88,227
660,2019-06-27 09:15:00,87.5,87.5,87,87.05,1886
665,2019-06-27 09:40:00,87,87.5,87,87.5,74
670,2019-06-27 10:05:00,88,88,88,88,0
675,2019-06-27 10:30:00,88.5,88.5,88,88,29
680,2019-06-27 10:55:00,88,88,88,88,212
685,2019-06-27 11:20:00,88.45,88.45,88,88.35,783
690,2019-06-27 11:45:00,88,88,88,88,1144
695,2019-06-27 12:10:00,87.5,87.5,87.5,87.5,0
700,2019-06-27 12:35:00,87.5,87.5,87.5,87.5,3
705,2019-06-27 13:00:00,87.2,87.2,87.2,87.2,30
709,2019-06-27 13:25:00,87.2,88,87.2,88,99
714,2019-06-27 13:50:00,87.35,87.35,87.35,87.35,62
718,2019-06-27 14:15:00,87.5,87.5,87.5,87.5,31
721,2019-06-27 14:40:00,87.35,87.35,87.35,87.35,66
726,2019-06-27 15:05:00,87.6,87.6,87.35,87.35,141
731,2019-06-28 09:15:00,87,87.9,87,87.1,198
736,2019-06-28 09:40:00,87.05,87.05,87.05,87.05,85
741,2019-06-28 10:05:00,87.05,87.05,87.05,87.05,156
746,2019-06-28 10:30:00,87.05,87.1,87.05,87.1,3
751,2019-06-28 10:55:00,87.1,87.1,87.1,87.1,87
756,2019-06-28 11:20:00,87,87,87,87,0
760,2019-06-28 11:45:00,87.8,87.8,87,87.1,120
765,2019-06-28 12:10:00,88,88.5,88,88,249
770,2019-06-28 12:35:00,88,88,88,88,46
775,2019-06-28 13:00:00,88,88,88,88,25
780,2019-06-28 13:25:00,88,88,87,87,786
784,2019-06-28 13:50:00,87,87,87,87,14
789,2019-06-28 14:15:00,87,87,87,87,49
794,2019-06-28 14:40:00,87,87,87,87,200
799,2019-06-28 15:05:00,87,87,87,87,361
804,2019-07-01 09:15:00,87,87,87,87,1035
809,2019-07-01 09:40:00,87,87,87,87,94
814,2019-07-01 10:05:00,87,87,87,87,4
819,2019-07-01 10:30:00,87,87,87,87,212
824,2019-07-01 11:00:00,87,87,87,87,33
829,2019-07-01 11:25:00,87,87.5,87,87.5,4159
834,2019-07-01 11:50:00,87,87,87,87,51
839,2019-07-01 12:15:00,87,87.4,87,87,875
844,2019-07-01 12:40:00,87.05,87.05,87.05,87.05,6
849,2019-07-01 13:05:00,87,87,87,87,274
854,2019-07-01 13:30:00,87,87,87,87,631
858,2019-07-01 13:55:00,87.45,87.45,87,87,25
863,2019-07-01 14:20:00,87,87,87,87,17
868,2019-07-01 14:45:00,87.25,87.25,87,87,1
873,2019-07-01 15:10:00,87.25,87.4,87,87,325
877,2019-07-02 09:15:00,87,87,87,87,74
882,2019-07-02 09:40:00,87,87,87,87,173
887,2019-07-02 10:05:00,87,87,87,87,54
892,2019-07-02 10:30:00,87,87,87,87,35
897,2019-07-02 10:55:00,87,87,87,87,0
901,2019-07-02 11:20:00,87,87,87,87,67
906,2019-07-02 11:45:00,87,87,87,87,22
911,2019-07-02 12:10:00,87.3,87.3,87,87,6
916,2019-07-02 12:35:00,87.3,87.3,87.3,87.3,0
921,2019-07-02 13:00:00,87,87,87,87,1
923,2019-07-02 13:25:00,87,87,87,87,26
927,2019-07-02 13:55:00,87,87,87,87,30
932,2019-07-02 14:20:00,87,87.25,87,87.25,63
937,2019-07-02 14:45:00,87,87,87,87,50
942,2019-07-02 15:10:00,87.1,87.1,86.5,86.75,64
946,2019-07-03 09:15:00,87,87,87,87,720
951,2019-07-03 09:40:00,87,87,87,87,31
956,2019-07-03 10:05:00,87,87,87,87,0
961,2019-07-03 10:30:00,87,87,87,87,226
966,2019-07-03 10:55:00,87,87,87,87,110
971,2019-07-03 11:20:00,87,87,87,87,137
976,2019-07-03 11:45:00,87,87,87,87,15
980,2019-07-03 12:10:00,87,87,87,87,44
984,2019-07-03 12:35:00,86.5,87,86.5,87,229
989,2019-07-03 13:00:00,86.5,86.5,86.5,86.5,0
994,2019-07-03 13:25:00,87,87,87,87,6
999,2019-07-03 13:50:00,87,87,87,87,13
1004,2019-07-03 14:15:00,87,87.05,87,87.05,128
1009,2019-07-03 14:40:00,87,87,87,87,62
1013,2019-07-03 15:05:00,87,87,87,87,32
1018,2019-07-04 09:15:00,87,87.15,87,87.15,551
1023,2019-07-04 09:40:00,87.3,88.7,87.3,87.5,292
1028,2019-07-04 10:05:00,87,87,87,87,173
1033,2019-07-04 10:30:00,87.7,87.7,87.7,87.7,0
1038,2019-07-04 10:55:00,87.65,87.65,87.65,87.65,10
1043,2019-07-04 11:20:00,87,87,87,87,155
1048,2019-07-04 11:45:00,87.1,87.1,87.1,87.1,18
1053,2019-07-04 12:10:00,87.1,87.1,87.1,87.1,15
1057,2019-07-04 12:35:00,87.1,87.1,87.1,87.1,0
1061,2019-07-04 13:05:00,87.7,87.7,87,87,25
1066,2019-07-04 13:30:00,87,87,87,87,0
1071,2019-07-04 13:55:00,87,87,87,87,108
1076,2019-07-04 14:20:00,87,87,87,87,98
1081,2019-07-04 14:45:00,87.5,87.5,87.5,87.5,0
1086,2019-07-04 15:10:00,87.05,87.05,87.05,87.05,60
1090,2019-07-05 09:15:00,87.05,87.05,87.05,87.05,161
1095,2019-07-05 09:40:00,87.25,89.8,87.25,89.8,73
1100,2019-07-05 10:05:00,89.6,89.6,89.6,89.6,0
1105,2019-07-05 10:30:00,88.15,88.15,88.1,88.1,280
1110,2019-07-05 10:55:00,87.7,87.7,87.3,87.3,64
1115,2019-07-05 11:20:00,87.2,87.2,87.2,87.2,71
1120,2019-07-05 11:45:00,87.15,87.15,87.1,87.1,87
1125,2019-07-05 12:10:00,87.1,87.1,87.1,87.1,157
1130,2019-07-05 12:35:00,87.1,87.1,87.1,87.1,168
1135,2019-07-05 13:00:00,86.25,86.25,86.25,86.25,10
1140,2019-07-05 13:25:00,83.55,83.55,82.8,82.9,752
1145,2019-07-05 13:50:00,82.85,82.85,82.85,82.85,37
1150,2019-07-05 14:15:00,83,85.45,83,83,2254
1155,2019-07-05 14:40:00,82.8,85,82.8,85,151
1160,2019-07-05 15:05:00,83,83,83,83,2
1165,2019-07-08 09:15:00,78.8,78.8,78.75,78.75,70
1170,2019-07-08 09:40:00,78.75,78.75,78.75,78.75,0
1175,2019-07-08 10:05:00,78.75,78.75,78.75,78.75,50
1180,2019-07-08 10:35:00,78.75,78.75,78.75,78.75,51
1185,2019-07-08 11:05:00,78.75,78.75,78.75,78.75,0
1190,2019-07-08 11:30:00,78.75,78.75,78.75,78.75,13
1195,2019-07-08 11:55:00,78.75,78.75,78.75,78.75,63
1198,2019-07-08 12:25:00,78.75,78.75,78.75,78.75,0
1203,2019-07-08 12:50:00,78.75,78.75,78.75,78.75,0
1207,2019-07-08 13:20:00,78.75,78.75,78.75,78.75,0
1212,2019-07-08 13:45:00,78.75,78.75,78.75,78.75,0
1217,2019-07-08 14:10:00,78.75,78.75,78.75,78.75,10
1222,2019-07-08 14:40:00,78.75,78.75,78.75,78.75,0
1227,2019-07-08 15:05:00,78.75,78.75,78.75,78.75,200
1232,2019-07-09 09:15:00,74.95,78,74.85,74.85,1054
1237,2019-07-09 09:40:00,75,75,75,75,335
1242,2019-07-09 10:05:00,78,78,74.85,74.85,102
1247,2019-07-09 10:30:00,74.85,76.95,74.85,74.85,547
1252,2019-07-09 10:55:00,74.85,76.95,74.85,74.9,549
1257,2019-07-09 11:20:00,76.9,76.9,76.9,76.9,0
1262,2019-07-09 11:45:00,74.85,74.85,74.85,74.85,44
1267,2019-07-09 12:10:00,74.85,74.85,74.85,74.85,0
1272,2019-07-09 12:35:00,74.85,74.85,74.85,74.85,0
1277,2019-07-09 13:00:00,77,77,77,77,0
1282,2019-07-09 13:25:00,74.85,75,74.85,75,37
1286,2019-07-09 13:50:00,77.6,77.6,75.5,75.5,657
1291,2019-07-09 14:15:00,74.85,74.85,74.85,74.85,50
1295,2019-07-09 14:40:00,75,75,74.85,74.85,31
1300,2019-07-09 15:05:00,74.85,77.5,74.85,77.5,400
1305,2019-07-10 09:15:00,78.9,78.9,77.9,77.9,148
1310,2019-07-10 09:40:00,78,79,77.9,77.9,2608
1315,2019-07-10 10:05:00,79,80,79,79,1068
1320,2019-07-10 10:30:00,79.9,80.6,79.9,80.6,225
1325,2019-07-10 10:55:00,80.65,80.65,80.65,80.65,211
1330,2019-07-10 11:20:00,79.25,80.65,79.25,80.65,356
1335,2019-07-10 11:45:00,80,80,80,80,77
1340,2019-07-10 12:10:00,80,80,80,80,981
1345,2019-07-10 12:35:00,80.5,80.6,80.5,80.6,200
1350,2019-07-10 13:00:00,80.65,80.65,80.3,80.3,172
1355,2019-07-10 13:25:00,80.5,80.55,80.5,80.5,583
1360,2019-07-10 13:50:00,80,80,80,80,23
1365,2019-07-10 14:15:00,80.1,80.65,80.1,80.65,62
1370,2019-07-10 14:40:00,80.65,80.65,80.65,80.65,146
1375,2019-07-10 15:05:00,80.5,80.5,80.5,80.5,117
1380,2019-07-11 09:15:00,80,84.55,80,84.55,1265
1385,2019-07-11 09:40:00,84.55,84.55,84.55,84.55,528
1390,2019-07-11 10:05:00,84.55,84.55,84.55,84.55,47
1395,2019-07-11 10:30:00,84.55,84.55,84.55,84.55,6
1400,2019-07-11 10:55:00,84.55,84.55,84.55,84.55,0
1405,2019-07-11 11:20:00,84.55,84.55,84.55,84.55,37
1408,2019-07-11 11:50:00,84.55,84.55,84.55,84.55,62
1412,2019-07-11 12:20:00,84.55,84.55,84.55,84.55,4
1417,2019-07-11 12:45:00,84.55,84.55,84.55,84.55,0
1421,2019-07-11 13:15:00,84.55,84.55,84.55,84.55,28
1423,2019-07-11 13:40:00,84.55,84.55,84.55,84.55,6
1427,2019-07-11 14:05:00,84.55,84.55,84.55,84.55,143
1430,2019-07-11 14:30:00,84.55,84.55,84.55,84.55,92
1432,2019-07-11 14:55:00,84.55,84.55,84.55,84.55,25
1436,2019-07-11 15:20:00,84.55,84.55,84.55,84.55,67
1438,2019-07-12 09:15:00,86.9,88.75,86.9,88.75,753
1443,2019-07-12 09:40:00,88.75,88.75,88.75,88.75,397
1448,2019-07-12 10:05:00,88.75,88.75,88.75,88.75,12
1453,2019-07-12 10:30:00,88.75,88.75,88.75,88.75,9
1458,2019-07-12 10:55:00,88.75,88.75,88.75,88.75,35
1463,2019-07-12 11:20:00,88.75,88.75,88.75,88.75,62
1466,2019-07-12 11:45:00,88.75,88.75,88.75,88.75,0
1470,2019-07-12 12:10:00,88.75,88.75,88.75,88.75,20
1475,2019-07-12 12:35:00,88.75,88.75,88.75,88.75,5
1480,2019-07-12 13:00:00,88.75,88.75,88.75,88.75,37
1485,2019-07-12 13:25:00,88.75,88.75,88.75,88.75,0
1490,2019-07-12 13:50:00,88.75,88.75,88.75,88.75,21
1494,2019-07-12 14:20:00,88.75,88.75,88.75,88.75,1
1499,2019-07-12 14:50:00,88.75,88.75,88.75,88.75,50
1504,2019-07-12 15:15:00,88.75,88.75,88.75,88.75,4
1507,2019-07-15 09:15:00,92.9,93.15,90,90.25,5076
1512,2019-07-15 09:40:00,87.05,87.05,86.5,86.5,600
1517,2019-07-15 10:05:00,91.3,91.3,86.05,86.3,246
1522,2019-07-15 10:30:00,86.05,86.1,86.05,86.1,11
1526,2019-07-15 10:55:00,86.25,86.25,86,86.1,133
1531,2019-07-15 11:20:00,86,86.1,86,86.1,929
1536,2019-07-15 11:45:00,86.05,86.05,86,86,405
1541,2019-07-15 12:10:00,86.1,86.1,86,86,591
1546,2019-07-15 12:35:00,85,85,85,85,413
1551,2019-07-15 13:00:00,85.05,85.05,85,85,278
1556,2019-07-15 13:25:00,85.1,85.1,85.1,85.1,0
1560,2019-07-15 13:50:00,86,86,86,86,6
1565,2019-07-15 14:15:00,86.2,86.5,86.2,86.2,104
1570,2019-07-15 14:40:00,86,86,85.5,85.5,31
1575,2019-07-15 15:05:00,89,90,89,89.7,2039
1580,2019-07-16 09:15:00,88.9,88.9,85.1,85.1,38
1585,2019-07-16 09:40:00,85.2,87,85.2,85.2,86
1590,2019-07-16 10:05:00,84.95,84.95,84.95,84.95,50
1595,2019-07-16 10:30:00,84.95,85,84.95,85,7
1600,2019-07-16 10:55:00,85,85,85,85,87
1605,2019-07-16 11:20:00,84.95,84.95,84.95,84.95,1
1610,2019-07-16 11:45:00,84.95,84.95,84.95,84.95,0
1614,2019-07-16 12:10:00,84.95,84.95,84.95,84.95,0
1617,2019-07-16 12:40:00,84.95,84.95,84.95,84.95,0
1620,2019-07-16 13:05:00,84.95,84.95,84.95,84.95,50
1624,2019-07-16 13:30:00,84.95,84.95,84.95,84.95,0
1628,2019-07-16 13:55:00,84.95,84.95,84.95,84.95,0
1631,2019-07-16 14:20:00,84.95,84.95,84.95,84.95,80
1635,2019-07-16 14:45:00,84.95,84.95,84.95,84.95,0
1639,2019-07-16 15:10:00,84.95,84.95,84.95,84.95,240
1642,2019-07-17 09:15:00,85,85,83.1,83.1,646
1647,2019-07-17 09:40:00,81.1,82.1,81,82.1,903
1652,2019-07-17 10:05:00,85.1,85.1,83.7,85,322
1657,2019-07-17 10:30:00,85,85,84.8,84.8,571
1662,2019-07-17 10:55:00,82,84.95,82,84.95,250
1667,2019-07-17 11:20:00,84.95,84.95,84.95,84.95,65
1672,2019-07-17 11:45:00,84.9,84.9,84.9,84.9,25
1677,2019-07-17 12:10:00,82.2,84,82.2,83.5,60
1682,2019-07-17 12:35:00,84.3,84.3,84.3,84.3,0
1687,2019-07-17 13:00:00,84.75,84.75,84.75,84.75,10
1692,2019-07-17 13:25:00,82,82.95,81.2,82,849
1697,2019-07-17 13:50:00,86,86,86,86,0
1702,2019-07-17 14:15:00,81,84.9,81,84.9,406
1707,2019-07-17 14:40:00,84.65,85,84.65,84.65,537
1711,2019-07-17 15:05:00,84,84,84,84,15
1716,2019-07-18 09:15:00,81.1,83.9,81.1,81.2,215
1721,2019-07-18 09:40:00,84.85,84.85,81.15,81.25,552
1726,2019-07-18 10:05:00,82,82.9,82,82.9,68
1731,2019-07-18 10:30:00,82.95,82.95,82.95,82.95,154
1736,2019-07-18 10:55:00,83,83,82.95,82.95,24
1741,2019-07-18 11:20:00,82.95,82.95,82.95,82.95,123
1746,2019-07-18 11:45:00,82.8,82.8,82,82,67
1751,2019-07-18 12:10:00,82.7,82.7,80.75,80.75,1051
1756,2019-07-18 12:35:00,82.7,82.7,82.7,82.7,359
1761,2019-07-18 13:00:00,81.5,81.5,81.5,81.5,212
1766,2019-07-18 13:25:00,83,83,80.75,80.75,1599
1771,2019-07-18 13:50:00,81,81,80.75,80.75,625
1776,2019-07-18 14:15:00,80.75,80.75,80.75,80.75,4
1781,2019-07-18 14:40:00,80.75,80.75,80.75,80.75,200
1786,2019-07-18 15:05:00,80.75,80.75,80.75,80.75,0
1791,2019-07-19 09:15:00,80,82,78.05,79.05,273
1796,2019-07-19 09:40:00,79.45,80.3,79.45,80.3,390
1801,2019-07-19 10:05:00,78.75,78.75,77.6,77.6,155
1806,2019-07-19 10:30:00,77.15,79.75,77.15,77.2,145
1811,2019-07-19 10:55:00,77.05,77.05,77.05,77.05,129
1816,2019-07-19 11:20:00,77.35,78.4,77.1,78.4,126
1821,2019-07-19 11:45:00,77.25,77.25,77.25,77.25,142
1826,2019-07-19 12:10:00,77.3,78.25,77.3,77.3,236
1831,2019-07-19 12:35:00,78.5,78.5,77.5,77.5,174
1836,2019-07-19 13:00:00,78,78,77.85,77.85,82
1841,2019-07-19 13:25:00,78,78,78,78,16
1846,2019-07-19 13:50:00,78.2,78.2,78.2,78.2,8
1851,2019-07-19 14:15:00,78,78,78,78,230
1856,2019-07-19 14:40:00,78,78,78,78,37
1861,2019-07-19 15:05:00,78,78.25,78,78.25,177
1866,2019-07-22 09:15:00,74.85,77.4,74.5,74.5,142
1871,2019-07-22 09:40:00,75,76,74.5,75,383
1876,2019-07-22 10:05:00,74.5,76,74.5,76,178
1881,2019-07-22 10:30:00,76,76,76,76,40
1886,2019-07-22 10:55:00,74.65,76,74.65,76,453
1891,2019-07-22 11:20:00,76,76,76,76,63
1896,2019-07-22 11:45:00,76,76,76,76,37
1901,2019-07-22 12:10:00,77,77,77,77,57
1905,2019-07-22 12:35:00,77,77,77,77,2
1910,2019-07-22 13:00:00,76,77.2,76,76.2,12612
1915,2019-07-22 13:30:00,76.2,76.2,76.2,76.2,12
1919,2019-07-22 13:55:00,76.2,76.2,76.2,76.2,128
1922,2019-07-22 14:20:00,76,76,76,76,122
1927,2019-07-22 14:45:00,77,77,77,77,37
1931,2019-07-22 15:10:00,76,76,76,76,24
1935,2019-07-23 09:15:00,72.25,76.05,72.25,72.3,177
1940,2019-07-23 09:40:00,75.7,75.7,73,73,159
1945,2019-07-23 10:05:00,73.15,75,73.15,75,10312
1950,2019-07-23 10:30:00,75,75,75,75,29
1955,2019-07-23 10:55:00,75.55,75.55,75.25,75.25,197
1960,2019-07-23 11:20:00,75.6,78,75.6,78,520
1965,2019-07-23 11:45:00,77,77.5,75.8,77.5,147
1970,2019-07-23 12:10:00,75.6,76,75.6,76,141
1975,2019-07-23 12:35:00,76.1,76.1,76.1,76.1,34
1980,2019-07-23 13:00:00,76,76,75.6,75.6,43
1985,2019-07-23 13:25:00,76,76,75.9,76,35
1990,2019-07-23 13:50:00,75,76,75,76,69
1995,2019-07-23 14:15:00,76.05,76.05,76.05,76.05,84
2000,2019-07-23 14:40:00,76,76,76,76,14
2005,2019-07-23 15:05:00,74.35,76.8,74.35,76.8,259
2010,2019-07-24 09:15:00,71.6,73,71.6,72.15,43
2015,2019-07-24 09:40:00,73.65,74,73.65,74,715
2020,2019-07-24 10:05:00,73.65,73.65,73.65,73.65,6
2025,2019-07-24 10:30:00,75,75,73.7,73.7,33
2030,2019-07-24 10:55:00,72.4,72.5,72.4,72.5,44
2035,2019-07-24 11:20:00,72.6,72.6,72.6,72.6,0
2040,2019-07-24 11:45:00,72.7,72.7,72.7,72.7,173
2044,2019-07-24 12:10:00,74,74,72.65,72.65,47
2049,2019-07-24 12:35:00,72.8,72.8,72.8,72.8,414
2054,2019-07-24 13:00:00,73.05,73.1,73.05,73.1,41
2059,2019-07-24 13:25:00,73.35,73.35,73.35,73.35,8
2064,2019-07-24 13:50:00,75.4,75.4,75.4,75.4,0
2069,2019-07-24 14:15:00,73.55,73.65,73.55,73.65,23
2074,2019-07-24 14:40:00,73.7,73.75,73.7,73.75,50
2077,2019-07-24 15:05:00,73.75,73.75,73.75,73.75,35
2082,2019-07-25 09:15:00,70.75,72.95,70.75,71.5,20
2087,2019-07-25 09:40:00,71.95,76.45,71.95,76.45,282
2092,2019-07-25 10:05:00,72.5,72.5,72.5,72.5,71
2097,2019-07-25 10:30:00,72.55,72.55,72.55,72.55,9
2102,2019-07-25 10:55:00,75,75,75,75,0
2107,2019-07-25 11:20:00,72.6,74.95,72.2,74.95,236
2112,2019-07-25 11:45:00,72.4,74.55,72.25,72.4,192
2117,2019-07-25 12:10:00,71.95,71.95,71.95,71.95,86
2122,2019-07-25 12:35:00,73,73.9,73,73.9,4
2127,2019-07-25 13:00:00,72.35,74.5,72.35,74.5,15
